time,NO2
2021-04-19,3.62585e-05
2021-04-20,6.083115e-05
2021-04-21,4.5585035e-05
2021-04-22,4.773689e-05
2021-04-23,6.885367e-05
2021-04-24,3.344267e-05
2021-04-25,2.465262e-05
2021-04-26,2.0941798e-05
2021-04-27,3.6117428e-05
2021-04-28,5.8925183e-05
2021-04-29,2.428399e-05
2021-04-30,2.9476984e-05
2021-05-01,3.4669978e-05
2021-05-02,1.3719903e-05
2021-05-03,2.7567261e-05
2021-05-04,2.455379e-05
2021-05-05,3.0319505e-05
2021-05-06,4.2357045e-05
2021-05-07,4.84516275e-05
2021-05-08,5.454621e-05
2021-05-09,4.8073936e-05
2021-05-10,3.186812e-05
2021-05-11,3.9796647e-05
2021-05-12,2.330914e-05
2021-05-13,2.4334866e-05
2021-05-14,2.1622438e-05
2021-05-15,3.4769862e-05
2021-05-16,3.36209595e-05
2021-05-17,3.2472057e-05
2021-05-18,4.47454e-05
2021-05-19,2.4328618e-05
2021-05-20,2.9675706e-05
2021-05-21,4.445095e-05
2021-05-22,5.1557392e-05
2021-05-23,4.9406237e-05
2021-05-24,3.4096207e-05
2021-05-25,3.568888e-05
2021-05-26,2.4013123e-05
2021-05-27,1.9959614e-05
2021-05-28,2.4945843e-05
2021-05-29,3.9832114e-05
2021-05-30,6.57718e-05
2021-05-31,6.4422115e-05
2021-06-01,5.2126448500000006e-05
2021-06-02,3.9830782e-05
2021-06-03,2.3909364e-05
2021-06-04,1.9907731e-05
2021-06-05,2.763077e-05
2021-06-06,2.918209e-05
2021-06-07,3.5863904e-05
2021-06-08,4.4644832e-05
2021-06-09,6.458696e-05
2021-06-10,4.4655928e-05
2021-06-11,3.5253026e-05
2021-06-12,4.0112758e-05
2021-06-13,2.6232658e-05
2021-06-14,1.41429007e-05
2021-06-15,2.0531434e-06
2021-06-16,1.4555402e-05
2021-06-17,3.0938231e-05
2021-06-18,4.732106e-05
2021-06-19,3.2277523e-05
2021-06-20,4.5243345000000004e-05
2021-06-21,5.8209167e-05
2021-06-22,3.1570708e-05
2021-06-23,2.1749425e-05
2021-06-24,-9.50584e-06
2021-06-25,2.1280679e-05
2021-06-26,2.6650505e-05
2021-06-27,2.433986e-05
2021-06-28,4.507698e-06
2021-06-29,2.4465236e-05
